resolution,iterations,loss,triangles,surface_cells,crease_cells,f1,normals_off,volume_error,seconds
32,625,2.207474062743131e-05,11568,0.06271935264256641,1.075728775269783,0.7883350987716172,27.309,-2.193807432825008,451.85968362500716
32,650,2.1255886167637073e-05,11572,0.06178648557991858,1.066009120152594,0.7945490783247758,27.046999999999997,-2.1428633756121864,469.93407097000744
32,675,2.2032687411410734e-05,11568,0.06120712659897661,1.073507319879646,0.7986401616295666,26.8,-2.1096144189354016,488.0084583150077
32,700,2.1756397472927347e-05,11568,0.06060164019617632,1.075061937643896,0.8024529503018523,26.532,-2.073033185199987,506.08284566000805
32,725,2.2725640519638546e-05,11568,0.059934215198034546,1.0701535244017348,0.8059326095802887,26.441,-2.040361424498706,524.1572330050083
32,750,2.041537118202541e-05,11568,0.05927360790827193,1.0673982838443177,0.8096073791395737,26.378,-2.0062150010332274,542.2316203500086
32,775,1.951851481862832e-05,11568,0.05858358795198828,1.0482059361516527,0.8136151244600381,25.964,-1.9637176452731822,560.3060076950089
32,800,2.0575340386130847e-05,11568,0.057937762054537933,1.0493394981084565,0.8186919509275883,25.728,-1.921295018164154,578.3803950400091
32,825,1.967012940440327e-05,11568,0.057176769011255756,1.0529830431159335,0.8225544857262678,25.568999999999996,-1.8893490278272125,596.4547823850095
32,850,2.1834626750205643e-05,11568,0.05702501643742455,1.057847904065735,0.8245105464908292,25.342,-1.8670920650708032,614.5291697300097
32,875,1.9669609173433855e-05,11568,0.05686855751242593,1.0872784255751742,0.8243775613424382,25.333,-1.8548727741779092,632.60355707501
32,900,1.9143737517879345e-05,11568,0.05630153319889486,1.097639043746725,0.8271563886370503,25.272,-1.8259827697202067,650.6779444200104
32,925,1.8451755749993026e-05,11568,0.05566959306108129,1.0886131546666478,0.8308335117246027,24.93,-1.7963923704424722,668.7523317650106
32,950,1.7522201233077794e-05,11568,0.055237690841068963,1.078481359024836,0.8336217625821619,24.665,-1.7690391648746604,686.8267191100109
32,975,1.7285112335230224e-05,11568,0.054783025130792376,1.0842662383352573,0.8369489495125682,24.556,-1.7368157604614742,704.9011064550111
32,1000,1.7887261492433026e-05,11568,0.05430774380087199,1.0539039433224648,0.8399623666448427,24.391,-1.705915366653223,722.9754938000115
